epoch,step,train_loss,test_loss
5,4750,0.2182,
5,5000,0.1886,
5,5250,0.1712,
5,5500,0.117,
5,5750,0.1571,
5,6000,0.2522,
5,6250,0.1539,
5,6500,0.3348,
5,6750,0.2391,
5,7000,0.1663,
5,7250,0.2346,
5,7500,0.2406,
5,7750,0.4574,
5,8000,0.3226,
5,8250,0.1729,
5,8500,0.347,
5,8750,0.3126,
5,9000,0.1943,
5,9250,0.1445,
5,9500,0.2858,
5,9750,0.2478,
5,10000,0.326,
5,10250,0.292,
5,10500,0.3154,
5,10750,0.2935,
5,11000,0.2661,
5,11250,0.33,
5,11500,0.1207,
5,11750,0.241,
5,12000,0.3682,
5,12250,0.3457,
5,12500,0.2266,
5,12750,0.2167,
5,13000,0.2359,
5,13250,0.2185,
5,13500,0.3777,
5,13750,0.3426,
5,14000,0.254,
5,14250,0.2367,
5,14500,0.2621,
5,14750,0.1848,
5,15000,0.2335,
5,15250,0.3654,
5,15500,0.2414,
5,15750,0.4605,
5,16000,0.2986,
5,16250,0.3241,
5,16500,0.1575,
5,16750,0.24,
5,17000,0.1675,
5,17250,0.2706,
5,17500,0.2422,
5,17750,0.1358,
5,18000,0.2641,
5,18250,0.179,
5,18500,0.172,
5,18750,0.2282,
5,19000,0.2113,
5,19250,0.1672,
5,19500,0.3773,
5,19750,0.1386,
5,20000,0.3166,
5,20250,0.1573,
5,20500,0.2826,
5,20750,0.3732,
5,21000,0.3905,
5,21250,0.2839,
5,21500,0.2584,
5,21750,0.2154,
5,22000,0.1578,
5,22250,0.2611,
5,22500,0.1581,
5,22750,0.2464,
5,23000,0.3103,
5,23250,0.2516,
5,23500,0.3127,
5,23750,0.3016,
5,24000,0.2198,
5,24250,0.1804,
5,24500,0.3277,
5,24750,0.2677,
5,25000,0.4214,
6,250,0.228,
6,500,0.1549,
6,750,0.2108,
6,1000,0.1631,
6,1250,0.303,
6,1500,0.139,
6,1750,0.174,
6,2000,0.2572,
6,2250,0.1196,
6,2500,0.1905,
6,2750,0.3072,
6,3000,0.2538,
6,3250,0.261,
6,3500,0.1392,
6,3750,0.2128,
6,4000,0.2397,
6,4250,0.4085,
6,4500,0.2222,
6,4750,0.1944,
6,5000,0.1034,
6,5250,0.1306,
6,5500,0.2337,
6,5750,0.2788,
6,6000,0.3317,
6,6250,0.1684,
6,6500,0.2244,
6,6750,0.1925,
6,7000,0.4119,
6,7250,0.5495,
6,7500,0.3046,
6,7750,0.1789,
6,8000,0.221,
6,8250,0.2901,
6,8500,0.1889,
6,8750,0.1762,
6,9000,0.1525,
6,9250,0.2352,
6,9500,0.2938,
6,9750,0.2931,
6,10000,0.2533,
6,10250,0.3487,
6,10500,0.2124,
6,10750,0.287,
6,11000,0.2862,
6,11250,0.1379,
6,11500,0.3075,
6,11750,0.1858,
6,12000,0.4001,
6,12250,0.2207,
6,12500,0.2093,
6,12750,0.1635,
6,13000,0.1904,
6,13250,0.3001,
6,13500,0.2447,
6,13750,0.2838,
6,14000,0.1232,
6,14250,0.179,
6,14500,0.1714,
6,14750,0.1892,
6,15000,0.1962,
6,15250,0.1599,
6,15500,0.1183,
6,15750,0.2344,
6,16000,0.3335,
6,16250,0.1506,
6,16500,0.3494,
6,16750,0.1989,
6,17000,0.3602,
6,17250,0.2635,
6,17500,0.2092,
6,17750,0.3329,
6,18000,0.1552,
6,18250,0.1559,
6,18500,0.2414,
6,18750,0.1889,
6,19000,0.2032,
6,19250,0.2854,
6,19500,0.2841,
6,19750,0.2835,
6,20000,0.3384,
6,20250,0.2258,
6,20500,0.1617,
6,20750,0.2543,
6,21000,0.1646,
6,21250,0.3229,
6,21500,0.2483,
6,21750,0.2843,
6,22000,0.1522,
6,22250,0.1917,
6,22500,0.3837,
6,22750,0.2229,
6,23000,0.1714,
6,23250,0.2107,
6,23500,0.2062,
6,23750,0.3191,
6,24000,0.3739,
6,24250,0.4499,
6,24500,0.2888,
6,24750,0.3437,
6,25000,0.2,
7,250,0.3277,
7,500,0.2062,
7,750,0.306,
7,1000,0.3335,
